Campeonato,Temporada,MLucro,MAcuracia,NApostas
Ingles,20-21,19,0.611111111111111,12
Ingles,21-22,522,0.616071428571429,84
Ingles,22-23,752,0.690816326530612,63
Belga,20-21,657,0.669642857142857,40
Belga,21-22,-548,0.550793650793651,43
Belga,22-23,-378,0.560185185185185,52
Espanhol,20-21,409,0.566666666666667,51
Espanhol,21-22,-817,0.449404761904762,54
Espanhol,22-23,929,0.696428571428571,31
Frances,20-21,614,0.587423687423687,67
Frances,21-22,-441,0.534183673469388,66
Frances,22-23,95,0.666496598639456,51
Alemao,20-21,143,0.66984126984127,35
Alemao,21-22,641,0.706349206349206,41
Alemao,22-23,408,0.669973544973545,49
